Month	E_d	E_m	H(i)_d	H(i)_m	SD_m
1	2988.01	92628.28	1.72	53.38	19899.86
2	4563.77	127785.44	2.65	74.19	33551.52
3	6996.87	216903.12	4.21	130.41	35671.17
4	9052.67	271580.02	5.7	170.89	32077.67
5	8759.34	271539.53	5.6	173.61	33332.97
6	9141.56	274246.89	5.99	179.76	21068.18
7	9272.69	287453.44	6.15	190.76	26001.38
8	8754.75	271397.18	5.77	178.77	24508.24
9	7793.75	233812.37	4.96	148.89	26877.51
10	5599.17	173574.27	3.44	106.67	30612.51
11	3455.2	103655.95	2.05	61.63	20303.11
12	2616.44	81109.5	1.54	47.68	14464.45
